Time Period,RIFLGFCY01_N.B,RIFLGFCY03_N.B,RIFLGFCY05_N.B,RIFLGFCY10_N.B,IS_WEEKEND,Day of week
1962-01-02,3.22,3.7,3.88,4.06,0,1
1962-01-03,3.24,3.7,3.87,4.03,0,2
1962-01-04,3.24,3.69,3.86,3.99,0,3
1962-01-05,3.26,3.71,3.89,4.02,0,4
1962-01-06,3.26,3.71,3.89,4.02,1,5
1962-01-07,3.26,3.71,3.89,4.02,1,6
1962-01-08,3.31,3.71,3.91,4.03,0,0
1962-01-09,3.32,3.74,3.93,4.05,0,1
1962-01-10,3.33,3.75,3.94,4.07,0,2
1962-01-11,3.33,3.77,3.94,4.08,0,3
1962-01-12,3.3,3.76,3.95,4.08,0,4
1962-01-13,3.3,3.76,3.95,4.08,1,5
1962-01-14,3.3,3.76,3.95,4.08,1,6
1962-01-15,3.32,3.79,3.96,4.1,0,0
1962-01-16,3.3,3.81,3.98,4.13,0,1
1962-01-17,3.3,3.81,3.97,4.12,0,2
1962-01-18,3.27,3.79,3.96,4.11,0,3
1962-01-19,3.27,3.78,3.95,4.11,0,4
1962-01-20,3.27,3.78,3.95,4.11,1,5
1962-01-21,3.27,3.78,3.95,4.11,1,6
1962-01-22,3.25,3.76,3.93,4.09,0,0
1962-01-23,3.25,3.77,3.94,4.11,0,1
1962-01-24,3.24,3.76,3.93,4.1,0,2
1962-01-25,3.27,3.77,3.94,4.11,0,3
1962-01-26,3.28,3.8,3.97,4.11,0,4
1962-01-27,3.28,3.8,3.97,4.11,1,5
1962-01-28,3.28,3.8,3.97,4.11,1,6
1962-01-29,3.28,3.8,3.98,4.12,0,0
1962-01-30,3.28,3.8,3.98,4.11,0,1
1962-01-31,3.29,3.81,3.99,4.1,0,2
1962-02-01,3.3,3.81,4.0,4.09,0,3
1962-02-02,3.3,3.77,3.97,4.08,0,4
1962-02-03,3.3,3.77,3.97,4.08,1,5
1962-02-04,3.3,3.77,3.97,4.08,1,6
1962-02-05,3.29,3.77,3.96,4.07,0,0
1962-02-06,3.29,3.77,3.96,4.06,0,1
1962-02-07,3.29,3.77,3.95,4.07,0,2
1962-02-08,3.3,3.75,3.93,4.07,0,3
1962-02-09,3.28,3.73,3.91,4.05,0,4
1962-02-10,3.28,3.73,3.91,4.05,1,5
1962-02-11,3.28,3.73,3.91,4.05,1,6
1962-02-12,3.28,3.73,3.91,4.05,0,0
1962-02-13,3.28,3.72,3.91,4.03,0,1
1962-02-14,3.31,3.71,3.9,4.03,0,2
1962-02-15,3.33,3.71,3.9,4.02,0,3
1962-02-16,3.33,3.69,3.88,4.02,0,4
1962-02-17,3.33,3.69,3.88,4.02,1,5
1962-02-18,3.33,3.69,3.88,4.02,1,6
1962-02-19,3.32,3.67,3.86,4.01,0,0
1962-02-20,3.31,3.67,3.88,4.05,0,1
1962-02-21,3.28,3.64,3.86,4.03,0,2
1962-02-22,3.28,3.64,3.86,4.03,0,3
1962-02-23,3.24,3.6,3.83,4.02,0,4
1962-02-24,3.24,3.6,3.83,4.02,1,5
1962-02-25,3.24,3.6,3.83,4.02,1,6
1962-02-26,3.22,3.58,3.8,4.0,0,0
1962-02-27,3.23,3.57,3.8,4.01,0,1
1962-02-28,3.21,3.53,3.77,4.0,0,2
1962-03-01,3.15,3.44,3.71,3.98,0,3
1962-03-02,3.17,3.48,3.72,3.98,0,4
1962-03-03,3.17,3.48,3.72,3.98,1,5
1962-03-04,3.17,3.48,3.72,3.98,1,6
1962-03-05,3.18,3.53,3.74,4.0,0,0
1962-03-06,3.18,3.52,3.74,4.01,0,1
1962-03-07,3.14,3.52,3.74,4.0,0,2
1962-03-08,3.11,3.51,3.72,3.98,0,3
1962-03-09,3.12,3.53,3.71,3.96,0,4
1962-03-10,3.12,3.53,3.71,3.96,1,5
1962-03-11,3.12,3.53,3.71,3.96,1,6
1962-03-12,3.13,3.54,3.73,3.94,0,0
1962-03-13,3.11,3.53,3.7,3.92,0,1
1962-03-14,3.1,3.53,3.72,3.93,0,2
1962-03-15,3.1,3.52,3.73,3.96,0,3
1962-03-16,3.06,3.48,3.72,3.96,0,4
1962-03-17,3.06,3.48,3.72,3.96,1,5
1962-03-18,3.06,3.48,3.72,3.96,1,6
1962-03-19,3.03,3.44,3.71,3.93,0,0
1962-03-20,3.02,3.41,3.67,3.91,0,1
1962-03-21,3.01,3.37,3.61,3.86,0,2
1962-03-22,2.94,3.29,3.58,3.83,0,3
1962-03-23,2.94,3.33,3.62,3.87,0,4
1962-03-24,2.94,3.33,3.62,3.87,1,5
1962-03-25,2.94,3.33,3.62,3.87,1,6
1962-03-26,2.95,3.37,3.65,3.89,0,0
1962-03-27,2.95,3.39,3.65,3.9,0,1
1962-03-28,2.96,3.39,3.64,3.9,0,2
1962-03-29,2.96,3.4,3.64,3.9,0,3
1962-03-30,2.97,3.39,3.61,3.86,0,4
1962-03-31,2.97,3.39,3.61,3.86,1,5
1962-04-01,2.97,3.39,3.61,3.86,1,6
1962-04-02,2.95,3.38,3.58,3.86,0,0
1962-04-03,2.93,3.36,3.55,3.83,0,1
1962-04-04,2.88,3.28,3.51,3.78,0,2
1962-04-05,2.89,3.34,3.56,3.84,0,3
1962-04-06,2.89,3.32,3.55,3.81,0,4
1962-04-07,2.89,3.32,3.55,3.81,1,5
1962-04-08,2.89,3.32,3.55,3.81,1,6
1962-04-09,2.9,3.33,3.57,3.83,0,0
1962-04-10,2.94,3.36,3.57,3.83,0,1
1962-04-11,3.0,3.41,3.61,3.87,0,2
1962-04-12,3.0,3.4,3.61,3.86,0,3
1962-04-13,3.0,3.38,3.6,3.85,0,4
1962-04-14,3.0,3.38,3.6,3.85,1,5
1962-04-15,3.0,3.38,3.6,3.85,1,6
1962-04-16,3.0,3.37,3.6,3.83,0,0
1962-04-17,3.0,3.36,3.6,3.82,0,1
1962-04-18,3.0,3.35,3.6,3.81,0,2
1962-04-19,3.0,3.37,3.6,3.82,0,3
1962-04-20,3.0,3.37,3.6,3.82,0,4
1962-04-21,3.0,3.37,3.6,3.82,1,5
1962-04-22,3.0,3.37,3.6,3.82,1,6
1962-04-23,3.03,3.4,3.63,3.86,0,0
